ID,NAME,ALIAS,COVER,CATEGORIES,PUBLISHED_AT,MINUTE,SCORE,REGIONS
88,无间道,Infernal Affairs,https://p0.meituan.net/movie/606de8f394d40dbcbb9b87943fec71a2130408.jpg@464w_644h_1e_1c,"['剧情', '悬疑', '犯罪']",2003-09-05,101,9.0,['中国香港']
89,教父2,The Godfather: Part Ⅱ,https://p0.meituan.net/movie/bb1dee5e0b25889a2410211c1d5010ae190824.jpg@464w_644h_1e_1c,"['剧情', '犯罪']",1974-12-12,202,9.0,['美国']
90,加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl,https://p0.meituan.net/movie/b05b94b28eca53f325ae8d807fcd4ce01798036.jpg@464w_644h_1e_1c,"['动作', '奇幻', '冒险']",2003-11-21,143,9.0,['美国']
91,哈利·波特与魔法石,Harry Potter and the Sorcerer's Stone,https://p0.meituan.net/movie/d66b56b77b55aa3da5987b68948444c9106742.jpg@464w_644h_1e_1c,"['奇幻', '冒险']",2002-01-26,152,9.0,"['美国', '英国']"
92,指环王3：王者无敌,The Lord of the Rings: The Return of the King,https://p0.meituan.net/movie/932bdfbef5be3543e6b136246aeb99b8123736.jpg@464w_644h_1e_1c,"['剧情', '动作', '奇幻', '冒险']",2004-03-15,201,9.0,"['美国', '新西兰']"
93,黑客帝国,The Matrix,https://p1.meituan.net/movie/ad974d3527879f00be2eec29135118163728582.jpg@464w_644h_1e_1c,"['动作', '科幻']",2000-01-14,136,9.0,"['美国', '澳大利亚']"
94,剪刀手爱德华,Edward Scissorhands,https://p1.meituan.net/movie/6a964e9cee699267053bd6a4bf6f2671195394.jpg@464w_644h_1e_1c,"['剧情', '爱情', '奇幻']",1990-12-06,105,9.0,['美国']
95,春光乍泄,Happy Together,https://p0.meituan.net/movie/ae7245920d95c03765fe1615f3a1fe3865785.jpg@464w_644h_1e_1c,"['剧情', '爱情']",1997-05-17,96,9.0,"['中国香港', '日本', '韩国']"
96,大闹天宫,The Monkey King,https://p1.meituan.net/movie/14a7b337e8063e3ce05a5993ed80176b74208.jpg@464w_644h_1e_1c,"['动画', '奇幻']",1965-12-31,114,9.0,['中国大陆']
97,天空之城,天空の城ラピュタ,https://p1.meituan.net/movie/ba1ed511668402605ed369350ab779d6319397.jpg@464w_644h_1e_1c,"['动画', '奇幻', '冒险']",1992-05-01,125,9.0,['日本']
89,教父2,The Godfather: Part Ⅱ,https://p0.meituan.net/movie/bb1dee5e0b25889a2410211c1d5010ae190824.jpg@464w_644h_1e_1c,"['剧情', '犯罪']",1974-12-12,202,9.0,['美国']
90,加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl,https://p0.meituan.net/movie/b05b94b28eca53f325ae8d807fcd4ce01798036.jpg@464w_644h_1e_1c,"['动作', '奇幻', '冒险']",2003-11-21,143,9.0,['美国']
91,哈利·波特与魔法石,Harry Potter and the Sorcerer's Stone,https://p0.meituan.net/movie/d66b56b77b55aa3da5987b68948444c9106742.jpg@464w_644h_1e_1c,"['奇幻', '冒险']",2002-01-26,152,9.0,"['美国', '英国']"
92,指环王3：王者无敌,The Lord of the Rings: The Return of the King,https://p0.meituan.net/movie/932bdfbef5be3543e6b136246aeb99b8123736.jpg@464w_644h_1e_1c,"['剧情', '动作', '奇幻', '冒险']",2004-03-15,201,9.0,"['美国', '新西兰']"
93,黑客帝国,The Matrix,https://p1.meituan.net/movie/ad974d3527879f00be2eec29135118163728582.jpg@464w_644h_1e_1c,"['动作', '科幻']",2000-01-14,136,9.0,"['美国', '澳大利亚']"
94,剪刀手爱德华,Edward Scissorhands,https://p1.meituan.net/movie/6a964e9cee699267053bd6a4bf6f2671195394.jpg@464w_644h_1e_1c,"['剧情', '爱情', '奇幻']",1990-12-06,105,9.0,['美国']
95,春光乍泄,Happy Together,https://p0.meituan.net/movie/ae7245920d95c03765fe1615f3a1fe3865785.jpg@464w_644h_1e_1c,"['剧情', '爱情']",1997-05-17,96,9.0,"['中国香港', '日本', '韩国']"
96,大闹天宫,The Monkey King,https://p1.meituan.net/movie/14a7b337e8063e3ce05a5993ed80176b74208.jpg@464w_644h_1e_1c,"['动画', '奇幻']",1965-12-31,114,9.0,['中国大陆']
97,天空之城,天空の城ラピュタ,https://p1.meituan.net/movie/ba1ed511668402605ed369350ab779d6319397.jpg@464w_644h_1e_1c,"['动画', '奇幻', '冒险']",1992-05-01,125,9.0,['日本']
98,音乐之声,The Sound of Music,https://p0.meituan.net/movie/ef6d7e040278f3d727306745e8df1af5246411.jpg@464w_644h_1e_1c,"['剧情', '爱情', '歌舞', '传记']",1965-03-02,174,9.0,['美国']
90,加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl,https://p0.meituan.net/movie/b05b94b28eca53f325ae8d807fcd4ce01798036.jpg@464w_644h_1e_1c,"['动作', '奇幻', '冒险']",2003-11-21,143,9.0,['美国']
91,哈利·波特与魔法石,Harry Potter and the Sorcerer's Stone,https://p0.meituan.net/movie/d66b56b77b55aa3da5987b68948444c9106742.jpg@464w_644h_1e_1c,"['奇幻', '冒险']",2002-01-26,152,9.0,"['美国', '英国']"
92,指环王3：王者无敌,The Lord of the Rings: The Return of the King,https://p0.meituan.net/movie/932bdfbef5be3543e6b136246aeb99b8123736.jpg@464w_644h_1e_1c,"['剧情', '动作', '奇幻', '冒险']",2004-03-15,201,9.0,"['美国', '新西兰']"
93,黑客帝国,The Matrix,https://p1.meituan.net/movie/ad974d3527879f00be2eec29135118163728582.jpg@464w_644h_1e_1c,"['动作', '科幻']",2000-01-14,136,9.0,"['美国', '澳大利亚']"
94,剪刀手爱德华,Edward Scissorhands,https://p1.meituan.net/movie/6a964e9cee699267053bd6a4bf6f2671195394.jpg@464w_644h_1e_1c,"['剧情', '爱情', '奇幻']",1990-12-06,105,9.0,['美国']
95,春光乍泄,Happy Together,https://p0.meituan.net/movie/ae7245920d95c03765fe1615f3a1fe3865785.jpg@464w_644h_1e_1c,"['剧情', '爱情']",1997-05-17,96,9.0,"['中国香港', '日本', '韩国']"
96,大闹天宫,The Monkey King,https://p1.meituan.net/movie/14a7b337e8063e3ce05a5993ed80176b74208.jpg@464w_644h_1e_1c,"['动画', '奇幻']",1965-12-31,114,9.0,['中国大陆']
97,天空之城,天空の城ラピュタ,https://p1.meituan.net/movie/ba1ed511668402605ed369350ab779d6319397.jpg@464w_644h_1e_1c,"['动画', '奇幻', '冒险']",1992-05-01,125,9.0,['日本']
98,音乐之声,The Sound of Music,https://p0.meituan.net/movie/ef6d7e040278f3d727306745e8df1af5246411.jpg@464w_644h_1e_1c,"['剧情', '爱情', '歌舞', '传记']",1965-03-02,174,9.0,['美国']
99,辛德勒的名单,Schindler's List,https://p0.meituan.net/movie/b0d986a8bf89278afbb19f6abaef70f31206570.jpg@464w_644h_1e_1c,"['剧情', '历史', '战争']",1993-11-30,195,9.5,['美国']
91,哈利·波特与魔法石,Harry Potter and the Sorcerer's Stone,https://p0.meituan.net/movie/d66b56b77b55aa3da5987b68948444c9106742.jpg@464w_644h_1e_1c,"['奇幻', '冒险']",2002-01-26,152,9.0,"['美国', '英国']"
92,指环王3：王者无敌,The Lord of the Rings: The Return of the King,https://p0.meituan.net/movie/932bdfbef5be3543e6b136246aeb99b8123736.jpg@464w_644h_1e_1c,"['剧情', '动作', '奇幻', '冒险']",2004-03-15,201,9.0,"['美国', '新西兰']"
93,黑客帝国,The Matrix,https://p1.meituan.net/movie/ad974d3527879f00be2eec29135118163728582.jpg@464w_644h_1e_1c,"['动作', '科幻']",2000-01-14,136,9.0,"['美国', '澳大利亚']"
94,剪刀手爱德华,Edward Scissorhands,https://p1.meituan.net/movie/6a964e9cee699267053bd6a4bf6f2671195394.jpg@464w_644h_1e_1c,"['剧情', '爱情', '奇幻']",1990-12-06,105,9.0,['美国']
95,春光乍泄,Happy Together,https://p0.meituan.net/movie/ae7245920d95c03765fe1615f3a1fe3865785.jpg@464w_644h_1e_1c,"['剧情', '爱情']",1997-05-17,96,9.0,"['中国香港', '日本', '韩国']"
96,大闹天宫,The Monkey King,https://p1.meituan.net/movie/14a7b337e8063e3ce05a5993ed80176b74208.jpg@464w_644h_1e_1c,"['动画', '奇幻']",1965-12-31,114,9.0,['中国大陆']
97,天空之城,天空の城ラピュタ,https://p1.meituan.net/movie/ba1ed511668402605ed369350ab779d6319397.jpg@464w_644h_1e_1c,"['动画', '奇幻', '冒险']",1992-05-01,125,9.0,['日本']
98,音乐之声,The Sound of Music,https://p0.meituan.net/movie/ef6d7e040278f3d727306745e8df1af5246411.jpg@464w_644h_1e_1c,"['剧情', '爱情', '歌舞', '传记']",1965-03-02,174,9.0,['美国']
99,辛德勒的名单,Schindler's List,https://p0.meituan.net/movie/b0d986a8bf89278afbb19f6abaef70f31206570.jpg@464w_644h_1e_1c,"['剧情', '历史', '战争']",1993-11-30,195,9.5,['美国']
100,魂断蓝桥,Waterloo Bridge,https://p0.meituan.net/movie/58782fa5439c25d764713f711ebecd1e201941.jpg@464w_644h_1e_1c,"['剧情', '爱情', '战争']",1940-05-17,108,9.5,['美国']
92,指环王3：王者无敌,The Lord of the Rings: The Return of the King,https://p0.meituan.net/movie/932bdfbef5be3543e6b136246aeb99b8123736.jpg@464w_644h_1e_1c,"['剧情', '动作', '奇幻', '冒险']",2004-03-15,201,9.0,"['美国', '新西兰']"
93,黑客帝国,The Matrix,https://p1.meituan.net/movie/ad974d3527879f00be2eec29135118163728582.jpg@464w_644h_1e_1c,"['动作', '科幻']",2000-01-14,136,9.0,"['美国', '澳大利亚']"
94,剪刀手爱德华,Edward Scissorhands,https://p1.meituan.net/movie/6a964e9cee699267053bd6a4bf6f2671195394.jpg@464w_644h_1e_1c,"['剧情', '爱情', '奇幻']",1990-12-06,105,9.0,['美国']
95,春光乍泄,Happy Together,https://p0.meituan.net/movie/ae7245920d95c03765fe1615f3a1fe3865785.jpg@464w_644h_1e_1c,"['剧情', '爱情']",1997-05-17,96,9.0,"['中国香港', '日本', '韩国']"
96,大闹天宫,The Monkey King,https://p1.meituan.net/movie/14a7b337e8063e3ce05a5993ed80176b74208.jpg@464w_644h_1e_1c,"['动画', '奇幻']",1965-12-31,114,9.0,['中国大陆']
97,天空之城,天空の城ラピュタ,https://p1.meituan.net/movie/ba1ed511668402605ed369350ab779d6319397.jpg@464w_644h_1e_1c,"['动画', '奇幻', '冒险']",1992-05-01,125,9.0,['日本']
98,音乐之声,The Sound of Music,https://p0.meituan.net/movie/ef6d7e040278f3d727306745e8df1af5246411.jpg@464w_644h_1e_1c,"['剧情', '爱情', '歌舞', '传记']",1965-03-02,174,9.0,['美国']
99,辛德勒的名单,Schindler's List,https://p0.meituan.net/movie/b0d986a8bf89278afbb19f6abaef70f31206570.jpg@464w_644h_1e_1c,"['剧情', '历史', '战争']",1993-11-30,195,9.5,['美国']
100,魂断蓝桥,Waterloo Bridge,https://p0.meituan.net/movie/58782fa5439c25d764713f711ebecd1e201941.jpg@464w_644h_1e_1c,"['剧情', '爱情', '战争']",1940-05-17,108,9.5,['美国']
105,value,,,,,,,
93,黑客帝国,The Matrix,https://p1.meituan.net/movie/ad974d3527879f00be2eec29135118163728582.jpg@464w_644h_1e_1c,"['动作', '科幻']",2000-01-14,136,9.0,"['美国', '澳大利亚']"
94,剪刀手爱德华,Edward Scissorhands,https://p1.meituan.net/movie/6a964e9cee699267053bd6a4bf6f2671195394.jpg@464w_644h_1e_1c,"['剧情', '爱情', '奇幻']",1990-12-06,105,9.0,['美国']
95,春光乍泄,Happy Together,https://p0.meituan.net/movie/ae7245920d95c03765fe1615f3a1fe3865785.jpg@464w_644h_1e_1c,"['剧情', '爱情']",1997-05-17,96,9.0,"['中国香港', '日本', '韩国']"
96,大闹天宫,The Monkey King,https://p1.meituan.net/movie/14a7b337e8063e3ce05a5993ed80176b74208.jpg@464w_644h_1e_1c,"['动画', '奇幻']",1965-12-31,114,9.0,['中国大陆']
97,天空之城,天空の城ラピュタ,https://p1.meituan.net/movie/ba1ed511668402605ed369350ab779d6319397.jpg@464w_644h_1e_1c,"['动画', '奇幻', '冒险']",1992-05-01,125,9.0,['日本']
98,音乐之声,The Sound of Music,https://p0.meituan.net/movie/ef6d7e040278f3d727306745e8df1af5246411.jpg@464w_644h_1e_1c,"['剧情', '爱情', '歌舞', '传记']",1965-03-02,174,9.0,['美国']
99,辛德勒的名单,Schindler's List,https://p0.meituan.net/movie/b0d986a8bf89278afbb19f6abaef70f31206570.jpg@464w_644h_1e_1c,"['剧情', '历史', '战争']",1993-11-30,195,9.5,['美国']
100,魂断蓝桥,Waterloo Bridge,https://p0.meituan.net/movie/58782fa5439c25d764713f711ebecd1e201941.jpg@464w_644h_1e_1c,"['剧情', '爱情', '战争']",1940-05-17,108,9.5,['美国']
105,value,,,,,,,
106,admin,,,,,,,
94,剪刀手爱德华,Edward Scissorhands,https://p1.meituan.net/movie/6a964e9cee699267053bd6a4bf6f2671195394.jpg@464w_644h_1e_1c,"['剧情', '爱情', '奇幻']",1990-12-06,105,9.0,['美国']
95,春光乍泄,Happy Together,https://p0.meituan.net/movie/ae7245920d95c03765fe1615f3a1fe3865785.jpg@464w_644h_1e_1c,"['剧情', '爱情']",1997-05-17,96,9.0,"['中国香港', '日本', '韩国']"
96,大闹天宫,The Monkey King,https://p1.meituan.net/movie/14a7b337e8063e3ce05a5993ed80176b74208.jpg@464w_644h_1e_1c,"['动画', '奇幻']",1965-12-31,114,9.0,['中国大陆']
97,天空之城,天空の城ラピュタ,https://p1.meituan.net/movie/ba1ed511668402605ed369350ab779d6319397.jpg@464w_644h_1e_1c,"['动画', '奇幻', '冒险']",1992-05-01,125,9.0,['日本']
98,音乐之声,The Sound of Music,https://p0.meituan.net/movie/ef6d7e040278f3d727306745e8df1af5246411.jpg@464w_644h_1e_1c,"['剧情', '爱情', '歌舞', '传记']",1965-03-02,174,9.0,['美国']
99,辛德勒的名单,Schindler's List,https://p0.meituan.net/movie/b0d986a8bf89278afbb19f6abaef70f31206570.jpg@464w_644h_1e_1c,"['剧情', '历史', '战争']",1993-11-30,195,9.5,['美国']
100,魂断蓝桥,Waterloo Bridge,https://p0.meituan.net/movie/58782fa5439c25d764713f711ebecd1e201941.jpg@464w_644h_1e_1c,"['剧情', '爱情', '战争']",1940-05-17,108,9.5,['美国']
105,value,,,,,,,
106,admin,,,,,,,
107,测试,,,,,,,
95,春光乍泄,Happy Together,https://p0.meituan.net/movie/ae7245920d95c03765fe1615f3a1fe3865785.jpg@464w_644h_1e_1c,"['剧情', '爱情']",1997-05-17,96,9.0,"['中国香港', '日本', '韩国']"
96,大闹天宫,The Monkey King,https://p1.meituan.net/movie/14a7b337e8063e3ce05a5993ed80176b74208.jpg@464w_644h_1e_1c,"['动画', '奇幻']",1965-12-31,114,9.0,['中国大陆']
97,天空之城,天空の城ラピュタ,https://p1.meituan.net/movie/ba1ed511668402605ed369350ab779d6319397.jpg@464w_644h_1e_1c,"['动画', '奇幻', '冒险']",1992-05-01,125,9.0,['日本']
98,音乐之声,The Sound of Music,https://p0.meituan.net/movie/ef6d7e040278f3d727306745e8df1af5246411.jpg@464w_644h_1e_1c,"['剧情', '爱情', '歌舞', '传记']",1965-03-02,174,9.0,['美国']
99,辛德勒的名单,Schindler's List,https://p0.meituan.net/movie/b0d986a8bf89278afbb19f6abaef70f31206570.jpg@464w_644h_1e_1c,"['剧情', '历史', '战争']",1993-11-30,195,9.5,['美国']
100,魂断蓝桥,Waterloo Bridge,https://p0.meituan.net/movie/58782fa5439c25d764713f711ebecd1e201941.jpg@464w_644h_1e_1c,"['剧情', '爱情', '战争']",1940-05-17,108,9.5,['美国']
105,value,,,,,,,
106,admin,,,,,,,
107,测试,,,,,,,
108,中文,,,,,,,
96,大闹天宫,The Monkey King,https://p1.meituan.net/movie/14a7b337e8063e3ce05a5993ed80176b74208.jpg@464w_644h_1e_1c,"['动画', '奇幻']",1965-12-31,114,9.0,['中国大陆']
97,天空之城,天空の城ラピュタ,https://p1.meituan.net/movie/ba1ed511668402605ed369350ab779d6319397.jpg@464w_644h_1e_1c,"['动画', '奇幻', '冒险']",1992-05-01,125,9.0,['日本']
98,音乐之声,The Sound of Music,https://p0.meituan.net/movie/ef6d7e040278f3d727306745e8df1af5246411.jpg@464w_644h_1e_1c,"['剧情', '爱情', '歌舞', '传记']",1965-03-02,174,9.0,['美国']
99,辛德勒的名单,Schindler's List,https://p0.meituan.net/movie/b0d986a8bf89278afbb19f6abaef70f31206570.jpg@464w_644h_1e_1c,"['剧情', '历史', '战争']",1993-11-30,195,9.5,['美国']
100,魂断蓝桥,Waterloo Bridge,https://p0.meituan.net/movie/58782fa5439c25d764713f711ebecd1e201941.jpg@464w_644h_1e_1c,"['剧情', '爱情', '战争']",1940-05-17,108,9.5,['美国']
105,value,,,,,,,
106,admin,,,,,,,
107,测试,,,,,,,
108,中文,,,,,,,
97,天空之城,天空の城ラピュタ,https://p1.meituan.net/movie/ba1ed511668402605ed369350ab779d6319397.jpg@464w_644h_1e_1c,"['动画', '奇幻', '冒险']",1992-05-01,125,9.0,['日本']
98,音乐之声,The Sound of Music,https://p0.meituan.net/movie/ef6d7e040278f3d727306745e8df1af5246411.jpg@464w_644h_1e_1c,"['剧情', '爱情', '歌舞', '传记']",1965-03-02,174,9.0,['美国']
99,辛德勒的名单,Schindler's List,https://p0.meituan.net/movie/b0d986a8bf89278afbb19f6abaef70f31206570.jpg@464w_644h_1e_1c,"['剧情', '历史', '战争']",1993-11-30,195,9.5,['美国']
100,魂断蓝桥,Waterloo Bridge,https://p0.meituan.net/movie/58782fa5439c25d764713f711ebecd1e201941.jpg@464w_644h_1e_1c,"['剧情', '爱情', '战争']",1940-05-17,108,9.5,['美国']
105,value,,,,,,,
106,admin,,,,,,,
107,测试,,,,,,,
108,中文,,,,,,,
98,音乐之声,The Sound of Music,https://p0.meituan.net/movie/ef6d7e040278f3d727306745e8df1af5246411.jpg@464w_644h_1e_1c,"['剧情', '爱情', '歌舞', '传记']",1965-03-02,174,9.0,['美国']
